FILM	DATE	DIRECTOR	ATROCITY, GENOCIDE	DATA STATE	LANGUAGE	DURATION	PRODUCER	COUNTRY	ACQUIRED	LINKS	COMMENTS	PERP REPR	PERP GROUPS	PERP GENDER	VIOLENCE RATIONALE/CAUSES	COLLABORATOR GROUPS	VICTIM REPR	VICTIM GROUPS	VICTIM GENDER INTERVIEWS	SEXUAL VIOLENCE	DOC TYPE	RATINGS	AWARD
No Place on Earth	2012	Janet Tobias	Holocaust	1	en	83		US	DVD		[the main protagonists are the two brothers Sam and Saul who testify the most and are reenacted the most; occasionally Sonia and Sima Dodyk testify and often tell us about the women in the cave, since men and women separated often; the matriarch and initiator of the cave escape Esther is often narrator spoken by a voice-actor] and opens with cave explorers entering cave, brief talk about pre-historic importance of caves, first-person narration by amateur Jewish cave explorer Chris Nicola who visits caves in Ukraine (reenacted) who finds objects from modern day caves and finds out that Jews lived there during WWII; then members of Stemer and Wexler and Dodyk families (who are interviewed against black background with chiaroscuro lighting) recount their memories of pre-WWII Ukraine (reenacted) [at some point here the first-person voice-over narrator switches to varying members of the family], then WWII breaks out and Jews were deported to ghetto, but grandma Stermer is informed of international news and they decide to hide in Verteba cave and recount how they built beds, tables etc.; then the families separate deep within the caves; Germans are coming to the cave (reenacted, actors speak in German) they are seen mostly as faceless shadows in leather, but then we see German Gestapo actor in closeup, they are led away in quite an elaborate scene, one of them runs away and escapes; the remaining ones manage to get through the closed exit; Gestapo hands over prisoners to Ukrainian police who then dig up bodies at cemetery to replace them with the body of now imprisoned Jewish family enabling them to flee, but Ukrainian policeman shoots the two from the local village fearing that their escape might be discovered and reported to Gestapo by locals; briefly back to the first cave explorer narrator who tells us that only 5% of Ukrainians survived in Western Ukraine; back to the Stermer family; a local helps the families find another cave and it has fresh water (reenacted), and five extended families totaling 38 people (as explained with intertitles) go into this "Priest's Grotto Cave"; a local Ukrainian cheats them on flour and they get only 1/3 of the amount promised, they steal the millstone from the Ukrainian and make flower from local grain with it; women always stayed in cave, only the men left; eath family took care of its own food and ate separate, but (reenactments show) they collaborated on stealing provisions from locals; then a local discovers them cutting wood (reenacted), but they let him go; he recruits other locals and they cover the cave entrance (reenacted); they manage to find another exit; they trust one local who gives them the news and infos, and remaining family members hiding elsewhere are found and brought to the cave; news are heard that another bunker of 24 Jews the protagonist-families are friends with had been found and killed; Families reenacted performing Jewish rituals; someone shoots into the cave entrance and they decide to stay underground for two months without leaving to let locals think they're dead and they spend their time mostly sleeping and dozing; after the police sees no tracks in the wintersnow, they leave with a makeshift sleigh and get 250 kg of grain (unclear if stolen or not) and they steal a horse, making a harness out of their clothes to pull the grain, they decide against killing and eating the horse; one of them (reenacted) in first-person voice over describes secretly stealing food from other families, gets caught and beaten [but he does not seem to still live to testify in person for the doc]; then the Russians advance (with some archival footage mixed with reenactment of two sons leaving cave); then back to cave explorer Nicola who had almost given up on finding those who lived in the caves, but eventually finds the survivor Sol Wexler and gets in touch with Stermer family (reenacted, with the real persons, of them meeting on park benches); cave explorer Nicola says how incredibly challenging it would be to for expert cave explorers to live in a cave; Sam (octogenerian) and Saul (nonagenarian) with grandchildren and Esther return to Ukraine try to reenter Priest's Grotto cave (but they're too old) with cave explorer and the grandchildren manage to enter, and then they all manage to get to the first cave (Verteba); then they recount the Soviet victory (with reenactment) over Germans after 511 days underground and reemerging from cave; family (reenactment) return to their home, but no one in village greets them save for their own dog (a German shepherd by the irony of history); Esther's first person narration concludes on the men of the family that after they had scraped of the dirt on their clothing "they were free men" (reenactment of two sons walking towards horizon) -- then caption over this image says that the Stermer family had immigrated to US and Canada after WWII, living in NYC and Montreal, their legacy is 125 children, grandchildren, and great-grandchildren; then photos of Wexler and Stermer and Dodyk families	archival, reenactment	Gestapo, Ukrainian police, locals	M			direct, reenactment, archival	Jews			T		
Nazi Collaborators	2012	Michael Wadding, Nick Aarons, Martin Hughges, David Berry, Sarah Jobling	Holocaust	0		650		US	DVD												H		
Der Fall Eichmann	2012	Gerald Endres, Ute Bönnen	Holocaust	0	de			Germany										Romany					
Organisation Werwolf - Hitlers letztes Aufgebot	2012	Natascha Walter	Holocaust	0	de	93		Germany	FILE	https://www.youtube.com/watch?v=h7wIPTiwAQU&ab_channel=HistorychannelHD													
The Nazis in the CIA	2012	Dirk Pohlmann	Holocaust	0	en, de 	51		Germany	Netflix 			archival											
Numbered	2012	Dana Doron, Uriel Sinai	Holocaust	0	en	55		Israel, US															
The Last of the Unjust	2013	Claude Lanzmann	Holocaust	1	fr, de	210		France	DVD			none		None			direct			FALSE	T		
The Unseen Holocaust	2013	Mike Ibeji	Holocaust	0		49		UK															
Adolf Hitler: The Greatest Story Never Told	2013	Dennis Wise	Holocaust	0	en	350		US			[conspiracy theorist and internet producer Wise minimizes Nazi war crimes and genocide and describes allies as war criminals]												
Auschwitz vor Gericht. Strafsache 4 Ks 2/63	2014	Rolf Bickel, Dietrich Wagner	Holocaust	0	de	220	ARD	Germany															
The Decent One	2014	Vanessa Lapa	Holocaust	1	de, en	94		Israel	DVD		based on Himmler's adult letters and reports and documents of him as a child; diary entry of bring your child to work day, with Himmler taking family and daughter to KZ Dachau at ~54 min; archival footage of carbon monoxide gassing experiments on Soviet soil; Himmler's letter on German moral duty to kill those who wanted to kill Germans and how their possessions needed to be appropriated for the German race but how they themselves individually must not profit by taking even a single "Pelz" for themselves while footage of Jewish possessions and looted suitcases with names is shown; Himmler's Posen speech is read first and then actor's voice merge merges with the actual archival recording of Himmler which then takes over; recording of interview with Himmler's wife "Marga" who denies knowing about camps eve though at least the daugther is known to have visited them; extras: sound was recorded subsequently because archival material was silent; for trains they determined type and date of production and then recorded audio of closest possible train sounds to be more "authentic"; for voice actors Himmler's voice as child and adult was played by an (German) actor and his son to have likeness in sound; for music the initial proposals and composition were bombastic but for Himmler as a kid they decided not to go with that and not to "pre-judge" Himmler so that the audience can form their own opinion	archival	SS	M	racism	none	archival	Jews	None	FALSE	T		
Das radikal Böse (radical Evil)	2014	Stefan Ruzowitzky	Holocaust	0.5	en, de	93		Austria	DVD		Motto: Primo Levi on the ordinariness of perps; interview with Ben Ferencz (prosecutor at Nuremberg Einsatzgruppen trial); citations from EG are reenacted, but faces of actors split across screen at times with asymmetric audio track of heavy breathing; 2nd interviewee Lt. Col. Dave Grossman, American military psychologist; interviews with Roy Baumeister, Robert Jay Lifton, Christopher Browning, Patrick Dubois throughout documentary; reenactments of massacres with mostly close-ups of screaming perps with camera usually at eye level, no reenactments of shots or killings in the non-schematic, realistic reenactments; archival and propaganda footage used sparsely: eternal Jew, Liepaja shootings mixed with reenactments of soldiers watching the shootings; when quotes with sentiments about killings from German perps are read out by different voice actors, split screen of actors' faces with eternal Jew propaganda footage projected onto them is shown, archival documents shown with EG kill numbers, archival photos of perps drinking, archival stills of victims in Babi Yar; schematic reenactment of Stanley Milgram's experiments with death of supposed victim vividly displayed and with v-o explanation, another schematic reenactment of Ash experiments, further schematic reenactment of Kitty Genovese case, schematic/Brechtian reenactment in NS-uniforms of a killing with the act itself happening off-screen, but shot is heard, afterward dead naked body of victim behind boots shown; at ~60 min. question is raised if historical and psychological explainability of perpetration also relativises it morally, soon thereafter question of killing children with quotes from EG members talking about the how of killing children as well as quotes with letters by EG members to their own children; about halfway through seemingly random visit to village in Ukraine whose Jewish community was eradicated, yet no interviews with victims there, just villagers and the mayor; a wealth of quotes of perps from letters and diaries read with persons remaining unidentified and faceless, including excerpts from Himmler's Posen speech which is also unidentified and read even though archival audio recording exists; additional material includes interview with director who studied history and explicitly distances himself from Lanzmann's tenets, acc. to him actors were supposed to be "leer" ad without "schauspielerische Ambitionen" (around 12 min in interview), emphasises eye-level camera in reenactments and splitscreen supposed to suggest that the quotes are not to be associated with any one particular figure and that there is always a group, but splitscreen also supposed to create distance and prevent immersion	reenactment, archival	EG, SS, Wehrmacht?	M	peer pressure, authoritarianism, racism, bystander effect		archival	Jews	None	TRUE	H		
